spacing_cm,force_scale,experiment_mode_Hz,closest_model_mode_Hz,signed_error_Hz,abs_error_Hz
3.0,0.2,1.396,1.41666667,0.020666669999999998,0.020666669999999998
3.0,0.2,2.188,2.26666667,0.07866667000000005,0.07866667000000005
3.0,0.2,3.274,3.28333333,0.009333330000000029,0.009333330000000029
3.0,0.5,1.396,1.41666667,0.020666669999999998,0.020666669999999998
3.0,0.5,2.188,2.33333333,0.1453333299999997,0.1453333299999997
3.0,0.5,3.274,3.55,0.2759999999999998,0.2759999999999998
3.0,1.0,1.396,1.38333333,-0.012666669999999991,0.012666669999999991
3.0,1.0,2.188,2.41666667,0.22866666999999996,0.22866666999999996
3.0,1.0,3.274,3.78333333,0.50933333,0.50933333
5.0,0.2,1.387,1.41666667,0.029666669999999895,0.029666669999999895
5.0,0.2,1.846,1.76666667,-0.07933333000000009,0.07933333000000009
5.0,0.2,2.543,2.31666667,-0.2263333300000001,0.2263333300000001
5.0,0.2,3.37,2.31666667,-1.05333333,1.05333333
5.0,0.5,1.387,1.43333333,0.04633332999999995,0.04633332999999995
5.0,0.5,1.846,1.88333333,0.03733332999999983,0.03733332999999983
5.0,0.5,2.543,2.51666667,-0.026333329999999933,0.026333329999999933
5.0,0.5,3.37,2.51666667,-0.8533333299999999,0.8533333299999999
5.0,1.0,1.387,1.41666667,0.029666669999999895,0.029666669999999895
5.0,1.0,1.846,1.91666667,0.07066666999999982,0.07066666999999982
5.0,1.0,2.543,2.65,0.10699999999999976,0.10699999999999976
5.0,1.0,3.37,2.65,-0.7200000000000002,0.7200000000000002
