case,edge,rank,frequency_Hz,amplitude,prominence
3cm,left,1,1.3958455758316957,0.2810263742082298,0.2809678581344531
3cm,left,2,2.1879325494187296,0.24032075245044693,0.2402374206153781
3cm,left,3,3.2735902195100484,0.06736801198760571,0.06733422225657798
3cm,right,1,1.3958455758316957,0.3289897373878026,0.3288653997974254
3cm,right,2,2.1879325494187296,0.29672927918978836,0.29664063673849655
3cm,right,3,3.2735902195100484,0.10955883419469972,0.10954355837219433
3cm,right,4,4.547576260943739,0.021116476589690146,0.021106889633247163
5cm,left,1,1.846560984939637,0.30669574842369773,0.30669026226109786
5cm,left,2,1.3867170042542798,0.18974230757020683,0.18973143207726617
5cm,left,3,2.543512018165881,0.15881253521713318,0.1587751250617071
5cm,left,4,3.369794170959882,0.046156427465027426,0.0461452659471729
5cm,left,5,0.6969510332262443,0.011466864721103207,0.011369201520767045
5cm,right,1,1.846560984939637,0.3135107285523558,0.3134750583801867
5cm,right,2,1.3867170042542798,0.18521957432919905,0.18515000813122562
5cm,right,3,2.543512018165881,0.15668069091527492,0.15664445484237227
5cm,right,4,3.369794170959882,0.03874618982788057,0.03872847888428104
5cm,right,5,0.6969510332262443,0.011669204147830702,0.011478964527251974
