bob,rank,frequency_Hz,amplitude_rad
bob1,1,1.9,0.1507444189
bob1,2,1.43333333,0.07217083818
bob1,3,2.53333333,0.04285038826
bob1,4,0.63333333,0.01916485451
bob1,5,3.3,0.01168258425
bob2,1,1.9,0.07102856121
bob2,2,1.43333333,0.0666185043
bob2,3,3.3,0.02752026346
bob2,4,2.53333333,0.02075148905
bob2,5,4.18333333,0.01387696833
bob3,1,1.43333333,0.0695910891
bob3,2,2.53333333,0.04580730222
bob3,3,4.18333333,0.02459165472
bob3,4,0.63333333,0.01720691554
bob3,5,0.88333333,0.009967019389
bob4,1,1.43333333,0.07286368892
bob4,2,1.9,0.07112919049
bob4,3,3.3,0.02766398979
bob4,4,2.53333333,0.0208439078
bob4,5,4.18333333,0.01379944301
bob5,1,1.9,0.1507316168
bob5,2,1.43333333,0.06768532045
bob5,3,2.53333333,0.04267492379
bob5,4,0.63333333,0.01941067871
bob5,5,3.3,0.01187822203
