t_s,theta1,theta2,theta3,theta4,theta5,omega1,omega2,omega3,omega4,omega5
0.00000000,-0.9727022706,-0.03427389511,0,0.03427389511,0.1000376446,0,0,0,0,0
0.00833333,-0.9703735899,-0.03454850591,-1.889123534e-07,0.03427389523,0.1000376459,0.5587089352,-0.06582657579,-9.061681082e-05,2.550661748e-09,3.045934108e-07
0.01666667,-0.9633959097,-0.03536840762,-2.992531328e-06,0.03427389247,0.1000376496,1.115453228,-0.1307279336,-0.0007050429936,-1.108550096e-06,6.053289162e-07
0.02500000,-0.9517933209,-0.03672266878,-1.438484447e-05,0.0342738597,0.1000376559,1.668373072,-0.1939524687,-0.002207526075,-8.599312935e-06,8.904918005e-07
0.03333333,-0.9356056324,-0.03859416754,-4.329240249e-05,0.03427369769,0.1000376643,2.21555152,-0.2547371069,-0.004971358621,-3.495470112e-05,1.110598618e-06
0.04166667,-0.914888956,-0.04095943518,-0.0001017284091,0.03427316347,0.1000376738,2.754988728,-0.3123367555,-0.009348860652,-0.0001026490334,1.109824346e-06
0.05000000,-0.8897164918,-0.04378900012,-0.0002044219984,0.03427177642,0.1000376812,3.284580094,-0.3660577142,-0.01563763052,-0.0002465941662,5.044895076e-07
0.05833333,-0.8601794751,-0.04704786202,-0.0003683169278,0.03426870678,0.1000376784,3.802099581,-0.4152684892,-0.0240699647,-0.000515902678,-1.503173574e-06
0.06666667,-0.8263887768,-0.05069559072,-0.0006119897086,0.03426265274,0.1000376482,4.304869792,-0.4591375298,-0.03480410598,-0.0009748407207,-6.383412035e-06
0.07500000,-0.7884837026,-0.05468029808,-0.0009550185238,0.03425174938,0.1000375573,4.788972415,-0.4959357237,-0.04791419539,-0.001685559623,-1.660730428e-05
0.08333333,-0.7466329699,-0.05894009805,-0.001416053025,0.0342337438,0.1000373463,5.251329323,-0.5251076421,-0.06303667126,-0.002691521124,-3.593851104e-05
0.09166667,-0.7010303062,-0.06340931294,-0.002010494516,0.03420584252,0.1000369185,5.688933902,-0.5460863678,-0.07990796439,-0.004074999954,-6.96652037e-05
0.10000000,-0.6518944621,-0.06801721208,-0.002752216108,0.03416453181,0.1000361255,6.098801527,-0.5583189456,-0.09834769742,-0.005924876885,-0.0001249681275
0.10833333,-0.5994686759,-0.0726895262,-0.003653282848,0.03410554577,0.1000347497,6.47805393,-0.56152679,-0.1181026878,-0.008332289259,-0.00021132187
0.11666667,-0.54401946,-0.07735109374,-0.004723358541,0.03402386088,0.1000324837,6.823992614,-0.5557873664,-0.1388480192,-0.01138734171,-0.0003408825724
0.12500000,-0.4858349113,-0.08192982077,-0.005968320759,0.03391372017,0.1000289064,7.134139755,-0.5418213112,-0.1599377102,-0.01517519921,-0.0005288398271
0.13333333,-0.4252228117,-0.08636119339,-0.007388344168,0.0337686963,0.1000234564,7.406249476,-0.5205708287,-0.1807952036,-0.01977057583,-0.0007937070162
0.14166667,-0.3625087378,-0.0905884583,-0.008979779917,0.03358180139,0.1000154035,7.638293111,-0.4930085207,-0.20100641,-0.02523259939,-0.001157518013
0.15000000,-0.2980343333,-0.0945633578,-0.01073547596,0.03334563309,0.1000038188,7.828440244,-0.4601748958,-0.2201466511,-0.03160100641,-0.001645900585
0.15833333,-0.2321591432,-0.09824260969,-0.01264473873,0.03305255078,0.0999875451,7.972640287,-0.4206044073,-0.2377924245,-0.03889271753,-0.002288004568
0.16666667,-0.1653408738,-0.1015042974,-0.01469334787,0.03269487842,0.09996516851,8.051007317,-0.3565088977,-0.2535151648,-0.04709884226,-0.003116267097
0.17500000,-0.09823099757,-0.1040493042,-0.01686328314,0.0322651307,0.09993499234,8.036381699,-0.2427021095,-0.2668173067,-0.05618209449,-0.004166001299
0.18333333,-0.03182026968,-0.1052571149,-0.01913173108,0.03175626003,0.09989501568,7.868245581,-0.02110368971,-0.2770199818,-0.06607424733,-0.005474798863
0.19166667,0.03207484274,-0.1037065033,-0.02146865324,0.03116192716,0.09984291757,7.392511598,0.4587135494,-0.283001574,-0.07667285438,-0.007081738995
0.20000000,0.08979287065,-0.09615809901,-0.02383096482,0.03047708451,0.0997760486,6.415478229,1.390101442,-0.2826328448,-0.08772734729,-0.009026352206
0.20833333,0.1388665594,-0.08051157754,-0.02614857164,0.02969945871,0.09969143397,5.366580764,2.354573892,-0.2711972213,-0.0989056562,-0.01134682627
0.21666667,0.179347332,-0.0571317111,-0.02829998714,0.02882897256,0.09958579384,4.356776535,3.241695123,-0.2412250129,-0.1099670703,-0.0140778789
0.22500000,0.211582426,-0.02672367528,-0.03008397478,0.02786792148,0.09945557964,3.384175015,4.041668066,-0.1803748765,-0.120574417,-0.01724896931
0.23333333,0.2358231418,0.009942846271,-0.03116044573,0.02682202052,0.09929702658,2.437498149,4.737970451,-0.06637865508,-0.1302298015,-0.02088113139
0.24166667,0.2522585918,0.05182644527,-0.03092328891,0.02570197106,0.09910647504,1.508991476,5.283324531,0.1451341838,-0.1382250095,-0.0249103775
0.25000000,0.2609790255,0.09735154462,-0.02822642645,0.02452629665,0.09888088178,0.5824917508,5.592937452,0.5454197197,-0.1432975778,-0.02928893795
0.25833333,0.262207189,0.1436171647,-0.02080133159,0.02332962317,0.09861741721,-0.2314784799,5.38129109,1.298277766,-0.1425267618,-0.03399372791
0.26666667,0.2579116539,0.1860124893,-0.006508232538,0.02218161235,0.0983135552,-0.7659948337,4.763293455,2.121345425,-0.1305537752,-0.03897199171
0.27500000,0.2498480226,0.2226528462,0.01438202513,0.02120808317,0.09796740921,-1.151355153,4.016862509,2.880761114,-0.09891962672,-0.04411823999
0.28333333,0.2389487175,0.2528195111,0.04128238898,0.02062292089,0.09757831112,-1.454059585,3.218332889,3.559627057,-0.03456398893,-0.04923812265
0.29166667,0.2257538386,0.2762429329,0.07340585523,0.02078214015,0.09714776962,-1.705953756,2.401378643,4.12945927,0.08440604465,-0.05399164917
0.30000000,0.210611816,0.2928103896,0.1097136815,0.02228549269,0.09668104288,-1.923204295,1.572456532,4.55716049,0.2963464639,-0.05779854682
0.30833333,0.1937728819,0.3023962156,0.1488170765,0.02616320596,0.0961898397,-2.114240186,0.724926142,4.787362483,0.6689299868,-0.05961010613
