theta_i_deg,theta_j_deg,pivot_spacing_m,center_distance_m,surface_gap_m,axial_gap_for_table_m,force_x_on_i_N,force_y_on_i_N,tau_mag_i_Nm,tau_mag_j_Nm,tau_gravity_i_Nm,tau_gravity_j_Nm,tau_total_i_pair_Nm,tau_total_j_pair_Nm,invalid_if_surface_gap_lt_0,near_field_if_surface_gap_lt_0p02m
-80.0,-80.0,0.05,0.05,0.020000000000000004,0.020000000000000004,-0.327211009752454,0.0,-0.00702233381477467,0.00702233381477467,0.08357989834675461,0.08357989834675461,0.07655756453197994,0.09060223216152928,0,0
-80.0,-78.0,0.05,0.050999239532605815,0.020999239532605816,0.020823128220087764,-0.29195304615345824,0.05433033020570706,-0.012878330721670661,0.014069922317988422,0.08357989834675461,0.08301465619802036,0.07070156762508395,0.09708457851600878,0,0
-80.0,-76.0,0.05,0.052476374770651445,0.022476374770651446,0.021793541384328388,-0.23934136953802335,0.09074633619517258,-0.01618150128065514,0.01803829419293078,0.08357989834675461,0.08234827347813631,0.06739839706609947,0.10038656767106709,0,0
-80.0,-74.0,0.05,0.0543907731825162,0.0243907731825162,0.022910057193761962,-0.18112461560294033,0.10710057671520135,-0.016922614849209254,0.018893993303024294,0.08357989834675461,0.08158156207179827,0.06665728349754535,0.10047555537482257,0,0
-80.0,-72.0,0.05,0.05669596168140974,0.02669596168140974,0.02417131534586077,-0.12734063318204997,0.10702444081188597,-0.015759080531209304,0.017443086182282373,0.08357989834675461,0.08071545609875203,0.0678208178155453,0.0981585422810344,0,0
-80.0,-70.0,0.05,0.05934379083644232,0.02934379083644232,0.025575779191848377,-0.08421035127341098,0.09693178509140635,-0.013605052610841236,0.014816923263143954,0.08357989834675461,0.07975101077571232,0.06997484573591338,0.09456793403885627,0,0
-80.0,-68.0,0.05,0.06228757649790864,0.03228757649790864,0.02712173760886953,-0.052321182606050086,0.08189843701311537,-0.011090928749699507,0.011807142037970756,0.08357989834675461,0.07868940113074391,0.0724889695970551,0.09049654316871467,0,0
-80.0,-66.0,0.05,0.06548408859796283,0.03548408859796283,0.028807307084729755,-0.03081708579149072,0.06592276042351274,-0.008684987711558666,0.008992145939872655,0.08357989834675461,0.0775319205716707,0.07489491063519595,0.08652406651154336,0,0
-80.0,-64.0,0.05,0.06889454934953225,0.03889454934953225,0.030630434012664742,-0.01705600524628967,0.051802460028694,-0.0066710431973605044,0.006678383794048133,0.08357989834675461,0.07627997931025773,0.0769088551493941,0.08295836310430586,0,0
-80.0,-62.0,0.05,0.07248491593551616,0.04248491593551616,0.03258889719334403,-0.008639672711089405,0.04015576303708915,-0.0050728714556542865,0.004883228134233307,0.08357989834675461,0.07493510264408527,0.07850702689110033,0.07981833077831858,0,0
