t_s,theta1,theta2,theta3,theta4,theta5,omega1,omega2,omega3,omega4,omega5
0.00000000,-1.270668101,-0.3306706666,-0.1016550666,0.1188927537,0.3493012693,0,0,0,0,0
0.00833333,-1.268241479,-0.3306706666,-0.1016550666,0.1188927537,0.3493012693,0.582286663,0,6.760118512e-17,-5.408094809e-17,5.408094809e-17
0.01666667,-1.260966409,-0.3306706666,-0.1016550666,0.1188927537,0.3493012693,1.163461449,0,1.352023702e-16,-1.081618962e-16,1.081618962e-16
0.02500000,-1.248856375,-0.3306706666,-0.1016550666,0.1188927537,0.3493012693,1.742502453,0,2.028035553e-16,-1.622428443e-16,1.622428443e-16
0.03333333,-1.23193367,-0.3306706666,-0.1016550666,0.1188927537,0.3493012693,2.318310819,0,2.704047405e-16,-2.163237924e-16,2.163237924e-16
0.04166667,-1.210230195,-0.3306706666,-0.1016550666,0.1188927537,0.3493012693,2.889674071,0,3.380059256e-16,-2.704047405e-16,2.704047405e-16
0.05000000,-1.183788545,-0.3306706666,-0.1016550666,0.1188927537,0.3493012693,3.455231979,0,4.056071107e-16,-3.244856886e-16,3.244856886e-16
0.05833333,-1.152663376,-0.3306706666,-0.1016550666,0.1188927537,0.3493012693,4.01344598,0,4.732082958e-16,-3.785666367e-16,3.785666367e-16
0.06666667,-1.116922998,-0.3306706666,-0.1016550666,0.1188927537,0.3493012693,4.562573332,0,5.408094809e-16,-4.326475847e-16,4.326475847e-16
0.07500000,-1.076651169,-0.3306706666,-0.1016550666,0.1188927537,0.3493012693,5.100647293,0,6.08410666e-16,-4.867285328e-16,4.867285328e-16
0.08333333,-1.031949011,-0.3306706666,-0.1016550666,0.1188927537,0.3493012693,5.625464748,0,6.760118512e-16,-5.408094809e-16,5.408094809e-16
0.09166667,-0.9829370107,-0.3306706666,-0.1016550666,0.1188927537,0.3493012693,6.134582775,0,7.436130363e-16,-5.94890429e-16,5.94890429e-16
0.10000000,-0.9297569875,-0.3306706666,-0.1016550666,0.1188927537,0.3493012693,6.625325569,0,8.112142214e-16,-6.489713771e-16,6.489713771e-16
0.10833333,-0.8725749482,-0.3306697051,-0.1016550665,0.1188927537,0.3493012693,7.094007554,0.000784495961,1.619647075e-07,5.120156654e-09,1.234653022e-13
0.11666667,-0.8116125211,-0.3306364862,-0.1016544892,0.1188927552,0.3493012693,7.530784372,0.008709149011,0.0005150177663,7.000686645e-07,1.341149616e-10
0.12500000,-0.747183855,-0.3304970619,-0.1016279264,0.1188928084,0.3493012692,7.924197005,0.02649437882,0.007291079356,2.006415183e-05,-3.396282733e-08
0.13333333,-0.6796814195,-0.3301643171,-0.1015063721,0.1188934103,0.3493012685,8.266824935,0.05598804934,0.02360650425,0.0001592980084,-1.161701514e-07
0.14166667,-0.6096126696,-0.3294784658,-0.1012046307,0.1188964213,0.3493012701,8.534403629,0.1162059067,0.05062392355,0.0006483774107,9.264371605e-07
0.15000000,-0.5377572754,-0.328041484,-0.1006331473,0.1189062156,0.3493013009,8.686903086,0.2448137858,0.08822630735,0.001862120673,8.355095721e-06
0.15833333,-0.4653657399,-0.324993897,-0.09970748749,0.118930907,0.3493014648,8.643656359,0.5222015176,0.135466268,0.004323028541,3.627319844e-05
0.16666667,-0.3947260067,-0.3184408325,-0.09834928898,0.1189835889,0.3493020421,8.223306991,1.128757967,0.1922312376,0.008706580941,0.0001141749625
0.17500000,-0.3303542358,-0.3042992092,-0.09646455465,0.1190837553,0.349303651,7.038736233,2.44044117,0.2637252912,0.01588245677,0.0002951949617
0.18333333,-0.2873033889,-0.2681103435,-0.09384905868,0.1192591121,0.3493074853,3.018370936,6.498599328,0.3762584658,0.0270025946,0.000666126807
0.19166667,-0.2702262497,-0.2064057291,-0.08978316071,0.1195514041,0.3493156451,1.40595808,7.933696816,0.6396252365,0.04450383172,0.001360542046
0.20000000,-0.2615159571,-0.1395014877,-0.08211170418,0.1200297538,0.3493316184,0.7744351007,7.923288551,1.299475494,0.0726097831,0.00258337721
0.20833333,-0.2563202682,-0.07867276352,-0.06502583558,0.1208193286,0.3493610488,0.510133098,6.038420963,3.385271859,0.1226321864,0.004658931968
0.21666667,-0.2526470027,-0.04852558578,-0.01677113664,0.1222866041,0.3494132359,0.3811961444,1.93014144,7.416264683,0.2555880073,0.008198749852
0.22500000,-0.2498902331,-0.03734545627,0.0483850621,0.1258582768,0.3495067743,0.2828762598,0.9022488248,7.98415757,0.6761016041,0.0151352466
0.23333333,-0.2479070823,-0.03181481386,0.1124153484,0.1355482304,0.349691188,0.1939673524,0.4884034605,7.089335263,1.866791526,0.0318437575
0.24166667,-0.2466482443,-0.02855053894,0.152223726,0.1703660003,0.3501340223,0.1085674143,0.3144181256,2.218366485,6.69413041,0.08700635908
0.25000000,-0.246091347,-0.02643898062,0.1628950707,0.2328849432,0.351577079,0.02545066163,0.1952344061,0.6852278697,7.91288755,0.3021691854
0.25833333,-0.2462180366,-0.02527290006,0.1659824487,0.2985978474,0.3563044697,-0.05549221424,0.08518371143,0.1408167642,7.662043206,0.9341657151
0.26666667,-0.2470101005,-0.02501549548,0.166165582,0.3563517685,0.370316447,-0.1342336965,-0.02331048481,-0.06265304756,5.575103494,3.009357551
0.27500000,-0.2484490924,-0.02566022326,0.1652770079,0.3827529005,0.4147517724,-0.2107542978,-0.1313860931,-0.1409532817,1.418079357,6.982093576
0.28333333,-0.2505165417,-0.02720394178,0.1639032927,0.3889557005,0.4775340135,-0.2850691976,-0.2389204712,-0.1858321889,0.2184047946,7.92886669
0.29166667,-0.2531942541,-0.02963652637,0.1622113833,0.3881270306,0.545050726,-0.3572276608,-0.3443829652,-0.2189476025,-0.3461952004,8.19824861
0.30000000,-0.256464525,-0.03293187295,0.160269527,0.3840001183,0.6132652162,-0.4272936425,-0.4455979417,-0.2464393939,-0.6117632473,8.13529531
