case,signal,duration_s,dominant_frequency_Hz,tau_s,theiler_s,lambda_s_inv,fit_r2
3cm_real_all_bobs,bob1_proxy,180.51904,1.3958455758316957,0.1168299999999789,0.573129301587198,-0.3673833768591301,0.37336645781458677
3cm_real_all_bobs,bob2_proxy,180.51904,1.3958455758316957,0.13351999999997588,0.573129301587198,-0.3450366933638891,0.4600606669336583
3cm_real_all_bobs,bob3_proxy,180.51904,1.3958455758316957,0.13351999999997588,0.573129301587198,0.009418123895000744,0.0002902260114332478
3cm_real_all_bobs,bob4_proxy,180.51904,1.3958455758316957,0.13351999999997588,0.573129301587198,-0.354048553371948,0.5062960109317866
3cm_real_all_bobs,bob5_proxy,180.51904,1.3958455758316957,0.1168299999999789,0.573129301587198,-0.34935760605723165,0.37123791375150905
5cm_70mT_real_all_bobs,bob1,139.17764000001398,1.846450471983449,0.10829000000001088,0.43326371984440154,0.17957589945633579,0.13524996018016588
5cm_70mT_real_all_bobs,bob2,139.17764000001398,1.3866340120342633,0.11662000000001171,0.5769366632124932,0.24091772060063096,0.3894761025706005
5cm_70mT_real_all_bobs,bob3,139.17764000001398,1.3866340120342633,0.10829000000001088,0.5769366632124932,-0.00724926436110824,0.00021606641250737635
5cm_70mT_real_all_bobs,bob4,139.17764000001398,1.3866340120342633,0.10829000000001088,0.5769366632124932,0.15619745075475894,0.23250968690936524
5cm_70mT_real_all_bobs,bob5,139.17764000001398,1.846450471983449,0.10829000000001088,0.43326371984440154,0.18891252849824708,0.150559858190088
5cm_70mT_real_edge_bob5,bob5_edge,139.17764000001398,1.846450471983449,0.10829000000001088,0.43326371984440154,0.18891252849824708,0.150559858190088
120mT_real_A_bob,A_pca,113.28799999991476,2.3300012550251563,0.09995999999992478,0.35,-0.18484174447536872,0.07094630949798608
