case,dim,fit_window_s,dominant_frequency_Hz,tau_s,theiler_s,lambda_s_inv,fit_r2
3cm_bob3_center,3,0.15-1.0,1.3958455758316957,0.13351999999997588,0.573129301587198,0.0010647711594503793,2.5556471473509035e-06
3cm_bob3_center,3,0.2-1.5,1.3958455758316957,0.13351999999997588,0.573129301587198,0.009418123895000744,0.0002902260114332478
3cm_bob3_center,3,0.3-2.0,1.3958455758316957,0.13351999999997588,0.573129301587198,0.016296764199183186,0.0016123581242596385
3cm_bob3_center,4,0.15-1.0,1.3958455758316957,0.13351999999997588,0.573129301587198,0.005225548626356576,2.5095811779229926e-05
3cm_bob3_center,4,0.2-1.5,1.3958455758316957,0.13351999999997588,0.573129301587198,0.05018520620442361,0.005431563837382858
3cm_bob3_center,4,0.3-2.0,1.3958455758316957,0.13351999999997588,0.573129301587198,0.026881656673951457,0.0028947161471717386
3cm_bob3_center,5,0.15-1.0,1.3958455758316957,0.13351999999997588,0.573129301587198,0.01783029046037259,0.00023080827817956173
3cm_bob3_center,5,0.2-1.5,1.3958455758316957,0.13351999999997588,0.573129301587198,0.061694781065104475,0.0068578923433045835
3cm_bob3_center,5,0.3-2.0,1.3958455758316957,0.13351999999997588,0.573129301587198,0.035521547606568275,0.004187553100091446
5cm_70mT_edge_bob5,3,0.15-1.0,1.846450471983449,0.10829000000001088,0.43326371984440154,1.0084243820147207,0.7915308740934978
5cm_70mT_edge_bob5,3,0.2-1.5,1.846450471983449,0.10829000000001088,0.43326371984440154,0.18891252849824708,0.150559858190088
5cm_70mT_edge_bob5,3,0.3-2.0,1.846450471983449,0.10829000000001088,0.43326371984440154,-0.15602896342542527,0.2999867453514601
5cm_70mT_edge_bob5,4,0.15-1.0,1.846450471983449,0.10829000000001088,0.43326371984440154,1.1322258098026645,0.7986931957425014
5cm_70mT_edge_bob5,4,0.2-1.5,1.846450471983449,0.10829000000001088,0.43326371984440154,0.22676285137040275,0.17006460850930438
5cm_70mT_edge_bob5,4,0.3-2.0,1.846450471983449,0.10829000000001088,0.43326371984440154,-0.12402723351556381,0.17533745101531717
5cm_70mT_edge_bob5,5,0.15-1.0,1.846450471983449,0.10829000000001088,0.43326371984440154,0.9133573133925785,0.7873864230842335
5cm_70mT_edge_bob5,5,0.2-1.5,1.846450471983449,0.10829000000001088,0.43326371984440154,0.1643070056971919,0.13090180188367295
5cm_70mT_edge_bob5,5,0.3-2.0,1.846450471983449,0.10829000000001088,0.43326371984440154,-0.10347884132235677,0.18259059926212873
120mT_A_bob,3,0.15-1.0,2.3300012550251563,0.09995999999992478,0.35,-0.6030652374291586,0.34091512475421293
120mT_A_bob,3,0.2-1.5,2.3300012550251563,0.09995999999992478,0.35,-0.18484174447536872,0.07094630949798608
120mT_A_bob,3,0.3-2.0,2.3300012550251563,0.09995999999992478,0.35,-0.06155716953682415,0.01630241760490092
120mT_A_bob,4,0.15-1.0,2.3300012550251563,0.09995999999992478,0.35,-0.6212687137560613,0.3179598136490206
120mT_A_bob,4,0.2-1.5,2.3300012550251563,0.09995999999992478,0.35,-0.14521995926682682,0.043806302936600594
120mT_A_bob,4,0.3-2.0,2.3300012550251563,0.09995999999992478,0.35,-0.07035556290359325,0.02206318334910551
120mT_A_bob,5,0.15-1.0,2.3300012550251563,0.09995999999992478,0.35,-0.43334530870805926,0.31980459439875064
120mT_A_bob,5,0.2-1.5,2.3300012550251563,0.09995999999992478,0.35,-0.10885953655802705,0.05444698430814077
120mT_A_bob,5,0.3-2.0,2.3300012550251563,0.09995999999992478,0.35,-0.04902143700796358,0.022898922540897093
