frequency_Hz,amp_theta1_rad,amp_theta2_rad,amp_theta3_rad,amp_theta4_rad,amp_theta5_rad
0.00000000,0.0003760180315,0.0003193901293,0.0004019343287,0.0004699866597,0.0002088615379
0.05000000,0.0004785473016,0.0002906980559,0.0002023370427,0.0003823548168,0.0004122670514
0.10000000,0.0001049937378,6.650383116e-05,3.841877703e-06,6.914237016e-05,0.0001114563632
0.15000000,1.201113166e-05,1.09274117e-05,1.452196448e-06,1.529029611e-05,9.585042653e-06
0.20000000,4.965755883e-05,1.36451978e-05,2.203709625e-06,1.362229534e-05,5.368860275e-05
0.25000000,0.0001228645879,2.707855268e-05,2.028663868e-06,2.447523108e-05,0.0001219912682
0.30000000,7.827690563e-05,3.630460795e-05,1.40667427e-06,3.635244374e-05,7.323268355e-05
0.35000000,1.258061824e-05,2.125865422e-05,2.723567799e-06,1.818122187e-05,1.516792682e-05
0.40000000,1.078793369e-06,2.034323489e-06,3.730300103e-06,1.032720562e-05,6.800694785e-06
0.45000000,1.624730854e-05,3.029223548e-06,1.040136574e-05,7.214457309e-06,3.850045764e-06
0.50000000,3.040234386e-05,1.415243621e-05,3.72506901e-06,1.461405128e-05,2.716718385e-05
0.55000000,2.136603745e-05,6.620055204e-06,5.695339345e-06,4.903716437e-06,1.043857822e-05
0.60000000,2.036895809e-05,2.47216326e-05,1.375868185e-05,1.0393869e-05,2.153370663e-05
0.65000000,1.590613346e-05,1.607006423e-05,3.761068371e-05,3.356947465e-05,3.499992655e-05
0.70000000,0.0001158251096,0.0001750069989,0.000225032167,0.0001757886363,0.0001122008793
0.75000000,0.0004183038396,0.0006292720593,0.0008492954196,0.0006295071997,0.0004155881012
0.80000000,0.0004009215905,0.0005651809531,0.0007549022048,0.0005647915357,0.0004055127451
0.85000000,9.534830129e-05,8.549047196e-05,0.000128118891,8.707076721e-05,9.363530567e-05
0.90000000,1.365177584e-05,8.87788283e-06,4.517240058e-05,1.635903759e-05,2.738771083e-05
0.95000000,0.0002291418207,0.000108635758,0.0002286228986,0.0001013656708,0.0002312302121
1.00000000,0.001793707952,0.0009743162028,0.0005308793113,0.0009692491533,0.001795348931
1.05000000,0.002135785,0.001712077248,0.0003281215149,0.001710671817,0.002139539566
1.10000000,0.000923126223,0.0006457603849,0.001111258825,0.0006472124916,0.0009228549241
1.15000000,0.002031982733,0.0001063752108,0.0008794713955,0.0001123942043,0.002031634352
1.20000000,0.0001148185844,0.0004794910448,0.0006020143258,0.0004674763725,0.000113882278
1.25000000,0.001145514976,0.00120854063,0.001278148237,0.001220473639,0.001151604765
1.30000000,0.007091120354,0.007064811389,0.007112713545,0.007056527679,0.007073508097
1.35000000,0.04837356652,0.04800524522,0.04837719124,0.04800404874,0.04836363162
1.40000000,0.05668448323,0.05626549966,0.05671637271,0.05626360779,0.05667937069
1.45000000,0.01479312727,0.01467991416,0.01479901364,0.01467842079,0.01479766565
1.50000000,0.001661733631,0.001654666577,0.001676913291,0.001679574738,0.001689044124
1.55000000,0.0005565167148,0.0005478842458,0.0005297605203,0.000496116827,0.0005113696399
1.60000000,0.0002053707827,0.0002140800836,0.0002401082731,0.0002630566356,0.0002596641657
1.65000000,0.0001317362343,0.0001206937752,0.0001128069963,0.0001145540305,0.000125164558
