t_s,theta1,theta2,theta3,theta4,theta5,omega1,omega2,omega3,omega4,omega5
0.00000000,-0.5725364006,-0.267222788,-0.05442268553,0.149037532,0.3706054723,0,0,0,0,0
0.00833333,-0.5716124074,-0.26722235,-0.05442259297,0.149037532,0.3706054723,0.2215457445,0.0002101962865,4.444167623e-05,3.889420211e-08,-4.603878963e-11
0.01666667,-0.5688509223,-0.2672157857,-0.05442120196,0.1490375355,0.3706054723,0.4405892327,0.001679719985,0.0003564797413,1.257392256e-06,-2.985658138e-10
0.02500000,-0.5642832282,-0.2671871872,-0.0544151526,0.1490375717,0.3706054723,0.6545625528,0.005765246457,0.001208535053,9.53323148e-06,1.24374473e-08
0.03333333,-0.5579637671,-0.267107778,-0.05439877263,0.1490377549,0.3706054728,0.8605527458,0.01412617651,0.002884696661,4.008397299e-05,1.383990926e-07
0.04166667,-0.5499702538,-0.266935961,-0.0543639447,0.1490383808,0.3706054759,1.055903441,0.02816900888,0.005686673028,0.0001220204072,7.57138592e-07
0.05000000,-0.5404020106,-0.2666188542,-0.05430000766,0.1490400606,0.3706054895,1.238060691,0.0492093259,0.009926702156,0.0003026346991,2.8934653e-06
0.05833333,-0.5293818154,-0.2660909179,-0.05419350108,0.1490438891,0.3706055344,1.403706056,0.07919312293,0.01596794696,0.0006513185702,8.805583846e-06
0.06666667,-0.5170617526,-0.2652690085,-0.05402778644,0.1490516452,0.3706056585,1.549619753,0.1199521861,0.02420090796,0.001263549372,2.283534525e-05
0.07500000,-0.503618718,-0.2640567354,-0.05378284768,0.1490660248,0.3706059582,1.672471085,0.1733594283,0.03506665099,0.002264472465,5.255649244e-05
0.08333333,-0.4892608852,-0.2623393296,-0.0534345644,0.1490909023,0.3706066115,1.768804263,0.2413012332,0.04908906557,0.003812377064,0.0001102463455
0.09166667,-0.4742238539,-0.2599878543,-0.05295432105,0.1491316217,0.3706079247,1.834763957,0.3259427401,0.06685207373,0.006102240466,0.0002146994968
0.10000000,-0.4587720983,-0.256859311,-0.05230799017,0.1491953165,0.370610395,1.867823524,0.4280053355,0.08906538032,0.009369259327,0.000393396945
0.10833333,-0.443193809,-0.2528026567,-0.05145536075,0.1492912613,0.3706147937,1.865027452,0.5484393823,0.1165170269,0.01389262392,0.0006850381657
0.11666667,-0.4277905366,-0.2476709848,-0.05034892459,0.1494312534,0.3706222711,1.825597495,0.6858557794,0.1501391366,0.01999929106,0.001142441152
0.12500000,-0.4128653058,-0.2413381562,-0.04892967072,0.1496300307,0.3706344879,1.750706973,0.835570456,0.1920918314,0.02806972237,0.001835808081
0.13333333,-0.3987047948,-0.2337259676,-0.04711884253,0.1499057885,0.3706537745,1.642869105,0.9916897518,0.2442820149,0.03855751267,0.002856377403
0.14166667,-0.3855556118,-0.2248184256,-0.04482792494,0.1502809644,0.3706833239,1.509308635,1.144688884,0.3074369745,0.05208647437,0.004320887549
0.15000000,-0.3735984505,-0.2146922707,-0.04195798573,0.1507859753,0.3707276511,1.358195085,1.28191995,0.3836902735,0.06990538849,0.006457559857
0.15833333,-0.3629438961,-0.203528218,-0.0383947315,0.1514604229,0.3707936345,1.198127725,1.392097414,0.473759477,0.09290063184,0.009562783485
0.16666667,-0.3536311806,-0.1915992448,-0.03401886377,0.1523512895,0.3708905453,1.03747701,1.463553805,0.5790165242,0.1220078029,0.01393564312
0.17500000,-0.3456336985,-0.1792649511,-0.02870644647,0.1535136402,0.3710304283,0.8835841616,1.488420444,0.6980525396,0.1582264939,0.01994296813
