case,release_angle_deg,series,rank,frequency_Hz,normalized_amp
5cm,10,edge_bob1,1,1.85,1.0
5cm,10,edge_bob1,2,1.4,0.8469333118402672
5cm,10,edge_bob1,3,2.55,0.6231428621348385
5cm,10,edge_bob1,4,3.3,0.1264891574089198
5cm,10,edge_bob1,5,0.7,0.09239865427837526
5cm,10,edge_bob1,6,4.4,0.041683604651032984
5cm,10,average,1,1.4,1.0
5cm,10,average,2,1.85,0.7299284688434952
5cm,10,average,3,2.55,0.6185242432725786
5cm,10,average,4,3.3,0.19953425383332227
5cm,10,average,5,4.15,0.09582978733129141
5cm,10,average,6,0.7,0.08676006704888999
5cm,20,edge_bob1,1,1.85,1.0
5cm,20,edge_bob1,2,1.4,0.7497308577038777
5cm,20,edge_bob1,3,2.5,0.5816346276507618
5cm,20,edge_bob1,4,0.65,0.15912425195619853
5cm,20,edge_bob1,5,1.65,0.09663999307066679
5cm,20,edge_bob1,6,3.25,0.08808916498973532
5cm,20,edge_bob1,7,2.25,0.08113855707826154
5cm,20,edge_bob1,8,4.35,0.07837613963035828
5cm,20,average,1,1.4,1.0
5cm,20,average,2,1.85,0.7390879008263151
5cm,20,average,3,2.5,0.5896743515770843
5cm,20,average,4,0.65,0.15140611143112567
5cm,20,average,5,3.25,0.14772917434831478
5cm,20,average,6,4.15,0.14229360642763209
5cm,20,average,7,4.35,0.10838560353683463
5cm,20,average,8,2.25,0.09065055723399172
5cm,30,edge_bob1,1,1.85,1.0
5cm,30,edge_bob1,2,1.4,0.7643362353500855
5cm,30,edge_bob1,3,2.5,0.4789560381953851
5cm,30,edge_bob1,4,0.6,0.165394436433789
5cm,30,edge_bob1,5,4.35,0.08661847603158328
5cm,30,edge_bob1,6,1.65,0.08527756637530198
5cm,30,edge_bob1,7,2.25,0.08250261282617787
5cm,30,edge_bob1,8,3.25,0.060059835986209655
5cm,30,average,1,1.4,1.0
5cm,30,average,2,1.85,0.7575893991332148
5cm,30,average,3,2.5,0.49967093706854576
5cm,30,average,4,0.6,0.1617404608254881
5cm,30,average,5,4.1,0.1397844985703215
5cm,30,average,6,2.25,0.12193081557458647
5cm,30,average,7,3.25,0.11126922239972442
5cm,30,average,8,4.35,0.09378161622741699
5cm,40,edge_bob1,1,1.85,1.0
5cm,40,edge_bob1,2,1.4,0.7451659618965215
5cm,40,edge_bob1,3,2.5,0.41324512978254296
5cm,40,edge_bob1,4,0.65,0.1810674828043532
5cm,40,edge_bob1,5,1.65,0.08971975489251231
5cm,40,edge_bob1,6,4.35,0.07525532671948992
5cm,40,edge_bob1,7,3.3,0.05270152452033181
5cm,40,edge_bob1,8,3.75,0.04927105978993003
5cm,40,average,1,1.4,1.0
5cm,40,average,2,1.85,0.776158889255517
5cm,40,average,3,2.5,0.4409841322962581
5cm,40,average,4,0.65,0.17575817662294652
5cm,40,average,5,4.15,0.1381258893989412
5cm,40,average,6,2.25,0.11635247623224125
5cm,40,average,7,1.65,0.1038869824828829
5cm,40,average,8,3.3,0.09539682511595016
5cm,50,edge_bob1,1,1.9,1.0
5cm,50,edge_bob1,2,1.4,0.6707600362140579
5cm,50,edge_bob1,3,2.55,0.2787440195810296
5cm,50,edge_bob1,4,0.65,0.15754901632105153
5cm,50,edge_bob1,5,3.75,0.05945386088465667
5cm,50,edge_bob1,6,4.45,0.05896735056312488
5cm,50,edge_bob1,7,1.05,0.05542925589220152
5cm,50,edge_bob1,8,3.35,0.05113740815211234
5cm,50,average,1,1.4,1.0
5cm,50,average,2,1.9,0.8496638194655508
5cm,50,average,3,2.55,0.3300229806548108
5cm,50,average,4,0.65,0.16405334212760095
5cm,50,average,5,2.3,0.130447964346045
5cm,50,average,6,3.35,0.10707370156639522
5cm,50,average,7,4.2,0.09035716769345124
5cm,50,average,8,4.45,0.06736153203480728
5cm,60,edge_bob1,1,1.9,1.0
5cm,60,edge_bob1,2,1.4,0.665263912799474
5cm,60,edge_bob1,3,0.75,0.14869792580681085
5cm,60,edge_bob1,4,2.6,0.13210066006986074
5cm,60,edge_bob1,5,3.75,0.0668239210267942
5cm,60,edge_bob1,6,3.35,0.06397950061109567
5cm,60,average,1,1.4,1.0
5cm,60,average,2,1.9,0.9744766841411711
5cm,60,average,3,0.75,0.17729495529844738
5cm,60,average,4,2.6,0.1756981098254316
5cm,60,average,5,3.35,0.14497877264433984
5cm,60,average,6,2.35,0.12339693354433366
5cm,60,average,7,4.2,0.07636814879170621
5cm,60,average,8,5.2,0.06684609526138331
3cm,10,edge_bob1,1,1.4,1.0
3cm,10,edge_bob1,2,2.15,0.6767470770501368
3cm,10,edge_bob1,3,3.25,0.3021063175351806
3cm,10,edge_bob1,4,4.3,0.16547751208986367
3cm,10,average,1,1.4,1.0
3cm,10,average,2,2.15,0.4141594829848976
3cm,10,average,3,3.25,0.2489216304196317
3cm,10,average,4,4.3,0.19183957716883773
3cm,20,edge_bob1,1,1.4,1.0
3cm,20,edge_bob1,2,2.15,0.8868813749603656
3cm,20,edge_bob1,3,3.3,0.3459179900304701
3cm,20,edge_bob1,4,4.35,0.1569653992796288
3cm,20,edge_bob1,5,1.15,0.08365947135980085
3cm,20,edge_bob1,6,3.55,0.043344455993424846
3cm,20,average,1,1.4,1.0
3cm,20,average,2,2.15,0.485478641047366
3cm,20,average,3,3.3,0.28621472674010284
3cm,20,average,4,4.35,0.2097027579940439
3cm,20,average,5,1.1,0.054963767227065675
3cm,20,average,6,5.3,0.04327691074384651
3cm,30,edge_bob1,1,2.2,1.0
3cm,30,edge_bob1,2,1.35,0.7870280564483507
3cm,30,edge_bob1,3,3.3,0.24412855231432323
3cm,30,edge_bob1,4,1.1,0.13238968229015446
3cm,30,edge_bob1,5,4.4,0.07700506937251832
3cm,30,edge_bob1,6,3.55,0.05888417871216682
3cm,30,edge_bob1,7,5.45,0.04440498639909658
3cm,30,average,1,1.35,1.0
3cm,30,average,2,2.2,0.692701403900833
3cm,30,average,3,3.3,0.2595891439073417
3cm,30,average,4,4.35,0.15335431622505552
3cm,30,average,5,1.1,0.09651174157479328
3cm,30,average,6,3.55,0.06756312735047265
3cm,30,average,7,5.45,0.05081804449892335
3cm,40,edge_bob1,1,2.2,1.0
3cm,40,edge_bob1,2,1.35,0.6311319030213355
3cm,40,edge_bob1,3,3.3,0.19254237173616387
3cm,40,edge_bob1,4,1.15,0.14461800758253662
3cm,40,edge_bob1,5,3.55,0.05989670020995519
3cm,40,edge_bob1,6,4.4,0.05355394364228137
3cm,40,edge_bob1,7,5.5,0.04957819725797362
3cm,40,average,1,1.35,1.0
3cm,40,average,2,2.2,0.8425131560044397
3cm,40,average,3,3.3,0.2599162801933789
3cm,40,average,4,4.4,0.17931908575291344
3cm,40,average,5,1.1,0.12636698899531068
3cm,40,average,6,3.55,0.08566340715380202
3cm,40,average,7,5.5,0.06527833649647236
3cm,50,edge_bob1,1,2.25,1.0
3cm,50,edge_bob1,2,1.35,0.8073964454204042
3cm,50,edge_bob1,3,1.1,0.7862187982575839
3cm,50,edge_bob1,4,3.35,0.7519009304752963
3cm,50,edge_bob1,5,4.35,0.12342913614293943
3cm,50,edge_bob1,6,5.6,0.11770635936051378
3cm,50,edge_bob1,7,1.95,0.06159234583564784
3cm,50,average,1,1.35,1.0
3cm,50,average,2,3.35,0.7909372349788999
3cm,50,average,3,2.25,0.6667032636155864
3cm,50,average,4,1.1,0.488985555284819
3cm,50,average,5,4.35,0.20718216150581228
3cm,50,average,6,5.6,0.12038055978201001
3cm,50,average,7,5.25,0.06317803857523129
3cm,60,invalid,0,,
