t_s,theta_rad
0.00000000,-0.5505010802
0.02085000,-0.5072579795
0.04170000,-0.4498301792
0.06255000,-0.3633371808
0.08340000,-0.2782948782
0.10425000,-0.183950589
0.12510000,-0.08431956456
0.14595000,0.01934994478
0.16680000,0.1224326804
0.18765000,0.2203318126
0.20850000,0.3116980183
0.22935000,0.3932541328
0.25020000,0.4619969369
0.27105000,0.5150066665
0.29190000,0.5526485556
0.31275000,0.571336575
0.33360000,0.5722323853
0.35445000,0.5546441861
0.37530000,0.519909652
0.39615000,0.4684301057
0.41700000,0.4014496967
0.43785000,0.3226933386
0.45870000,0.2323908601
0.47955000,0.1353898819
0.50040000,0.03466320351
0.52125000,-0.06824003304
0.54210000,-0.167025157
0.56295000,-0.2606018545
0.58380000,-0.3437702436
0.60465000,-0.4155709841
0.62550000,-0.4741689314
0.64635000,-0.5155391251
0.66720000,-0.5404045547
0.68805000,-0.5467141233
0.70890000,-0.5335804684
0.72975000,-0.5041285976
0.75060000,-0.4571559466
0.77145000,-0.3942295505
0.79230000,-0.3181202109
0.81315000,-0.2305592556
0.83400000,-0.1364569688
0.85485000,-0.0375341657
0.87570000,0.06352750775
0.89655000,0.162931084
0.91740000,0.2562346225
0.93825000,0.341301768
0.95910000,0.4161793207
0.97995000,0.4760861492
1.00080000,0.521249599
1.02165000,0.5508850662
1.04250000,0.5624292015
1.06335000,0.5563104126
1.08420000,0.5315311605
1.10505000,0.4901221598
1.12590000,0.4328622685
1.14675000,0.361445727
1.16760000,0.2791744342
1.18845000,0.1868054844
1.20930000,0.08978825537
1.23015000,-0.009544480062
1.25100000,-0.1087317295
1.27185000,-0.204708664
1.29270000,-0.2924253957
1.31355000,-0.3695119217
1.33440000,-0.4339246512
1.35525000,-0.4842944064
1.37610000,-0.5172922288
1.39695000,-0.5344768651
1.41780000,-0.5326407082
1.43865000,-0.5129497713
1.45950000,-0.4757727259
1.48035000,-0.423379801
1.50120000,-0.3554270809
1.52205000,-0.2762864512
1.54290000,-0.1876927893
1.56375000,-0.09206494251
1.58460000,0.005415883742
1.60545000,0.1028381688
1.62630000,0.1977449822
1.64715000,0.2850977366
1.66800000,0.3648899509
1.68885000,0.4320111776
1.70970000,0.4857697674
1.73055000,0.5250633423
1.75140000,0.5444493655
1.77225000,0.5483908655
1.79310000,0.5347389747
1.81395000,0.5033789653
1.83480000,0.4560420039
1.85565000,0.3931097373
1.87650000,0.3186626332
1.89735000,0.2327744231
1.91820000,0.1394567194
1.93905000,0.04315442737
1.95990000,-0.05316242457
1.98075000,-0.1483708509
2.00160000,-0.2384559122
2.02245000,-0.3207102675
2.04330000,-0.3911804465
2.06415000,-0.4491648715
