source,rank,frequency_Hz,amplitude,prominence
experiment,1,1.3958455758316957,0.7972717647224367,0.7969704457485122
experiment,2,2.1879325494187296,0.7190919629982055,0.7188771474111545
experiment,3,3.2735902195100484,0.26550422445663663,0.26546720511961064
experiment,4,4.547576260943739,0.05117354325109859,0.05115031027811195
theory_model,1,2.366667613333673,0.8038425452934604,0.8037824398712498
theory_model,2,1.4166672333335364,0.35211267536616814,0.3520254303069259
theory_model,3,3.566668093333845,0.3486242350201063,0.3485698716319923
theory_model,4,1.200000480000172,0.2802285940130472,0.2670108286720791
theory_model,5,1.3000005200001865,0.11763300078745184,0.09065406108380768
theory_model,6,2.2666675733336583,0.07993562321791771,0.028787578952234757
theory_model,7,5.916669033334182,0.06242587764966317,0.052607179825525444
theory_model,8,3.6500014600005235,0.05854566593598631,0.048498479979034906
