pair,case,bob,mean_nearest_peak_error_Hz,experiment_top_peaks_Hz,theory_top_peaks_Hz,folder
3cm_bob1,3cm,1,0.1308781850801887,"1.396, 2.188, 3.274","2.367, 1.417, 3.567, 1.200, 1.300",C:\Users\66\Desktop\cupt\IYPT2026_Research\15_Magnetic_Newtons_cradle\handoff_for_next_window\03_key_figures\theory_experiment_pair_comparisons\3cm_bob1
3cm_bob2,3cm,2,0.3388137249829712,"1.396, 2.188, 3.274, 4.548, 5.932","1.417, 2.367, 3.567, 4.883, 2.500",C:\Users\66\Desktop\cupt\IYPT2026_Research\15_Magnetic_Newtons_cradle\handoff_for_next_window\03_key_figures\theory_experiment_pair_comparisons\3cm_bob2
3cm_bob3,3cm,3,0.06541360286982527,"1.396, 3.274, 5.932","1.417, 3.567, 1.200, 3.500, 5.917",C:\Users\66\Desktop\cupt\IYPT2026_Research\15_Magnetic_Newtons_cradle\handoff_for_next_window\03_key_figures\theory_experiment_pair_comparisons\3cm_bob3
3cm_bob4,3cm,4,0.3388137249829712,"1.396, 2.188, 3.274, 4.548, 5.932","1.417, 2.367, 3.567, 4.883, 2.500",C:\Users\66\Desktop\cupt\IYPT2026_Research\15_Magnetic_Newtons_cradle\handoff_for_next_window\03_key_figures\theory_experiment_pair_comparisons\3cm_bob4
3cm_bob5,3cm,5,0.3225523390459454,"1.396, 2.188, 3.274, 4.548","2.367, 1.417, 3.567, 1.200, 1.300",C:\Users\66\Desktop\cupt\IYPT2026_Research\15_Magnetic_Newtons_cradle\handoff_for_next_window\03_key_figures\theory_experiment_pair_comparisons\3cm_bob5
5cm_bob1,5cm,1,0.048728929298194855,"1.847, 1.387, 2.544, 3.370, 0.697","1.900, 1.433, 2.533, 0.633, 3.300",C:\Users\66\Desktop\cupt\IYPT2026_Research\15_Magnetic_Newtons_cradle\handoff_for_next_window\03_key_figures\theory_experiment_pair_comparisons\5cm_bob1
5cm_bob2,5cm,2,0.04861279048111293,"1.387, 1.847, 3.370, 2.544, 4.246","1.900, 1.433, 3.300, 2.533, 4.183",C:\Users\66\Desktop\cupt\IYPT2026_Research\15_Magnetic_Newtons_cradle\handoff_for_next_window\03_key_figures\theory_experiment_pair_comparisons\5cm_bob2
5cm_bob3,5cm,3,0.07947436631629352,"1.387, 2.544, 4.246, 0.697, 4.397","1.433, 2.533, 4.183, 0.633, 0.883",C:\Users\66\Desktop\cupt\IYPT2026_Research\15_Magnetic_Newtons_cradle\handoff_for_next_window\03_key_figures\theory_experiment_pair_comparisons\5cm_bob3
5cm_bob4,5cm,4,0.04861279048111293,"1.387, 1.847, 2.544, 3.370, 4.246","1.433, 1.900, 3.300, 2.533, 4.183",C:\Users\66\Desktop\cupt\IYPT2026_Research\15_Magnetic_Newtons_cradle\handoff_for_next_window\03_key_figures\theory_experiment_pair_comparisons\5cm_bob4
5cm_bob5,5cm,5,0.048728929298194855,"1.847, 1.387, 2.544, 3.370, 0.697","1.900, 1.433, 2.533, 0.633, 3.300",C:\Users\66\Desktop\cupt\IYPT2026_Research\15_Magnetic_Newtons_cradle\handoff_for_next_window\03_key_figures\theory_experiment_pair_comparisons\5cm_bob5
