t_s,bob1_proxy,bob2_proxy,bob3_proxy,bob4_proxy,bob5_proxy
0.00000000,-1.560709938,-1.497451112,-1.098560997,-0.8564374437,-0.5951166484
0.01669000,-1.373085496,-1.459230703,-1.082790967,-0.8576066032,-0.6165080837
0.03338000,-1.125499752,-1.382322127,-1.067184028,-0.8641140211,-0.6274803954
0.05007000,-0.8362097254,-1.262179958,-1.044866719,-0.8726347044,-0.6300083351
0.06676000,-0.5235487823,-1.093561503,-1.007182624,-0.884557768,-0.6243468933
0.08345000,-0.2030658432,-0.8711754233,-0.9572199236,-0.8821977335,-0.6193269976
0.10014000,0.0959862279,-0.5862022061,-0.8745472296,-0.8637589512,-0.6122185777
0.11683000,0.3646485177,-0.2496581467,-0.7483603634,-0.8243996895,-0.6029095533
0.13352000,0.5763686079,0.1070259165,-0.559723312,-0.7604187621,-0.5904351532
0.15021000,0.7369126956,0.455082597,-0.2981861619,-0.6683549068,-0.5704341838
0.16690000,0.8434260246,0.754111219,0.03414899032,-0.5390928605,-0.5395139607
0.18359000,0.9090415255,0.9886731984,0.3929973525,-0.3398529357,-0.5016898556
0.20028000,0.9314579898,1.153879744,0.7366532027,-0.06357014349,-0.4409269795
0.21697000,0.9260687024,1.255725489,1.029360946,0.2675883775,-0.3449176319
0.23366000,0.8911751883,1.306903167,1.24515906,0.6170244531,-0.2125796073
0.25035000,0.8355942102,1.342616633,1.388612482,0.9251635026,-0.03675306404
0.26704000,0.760464632,1.349746994,1.475966179,1.155024914,0.1896747473
0.28373000,0.677099226,1.324904936,1.511124563,1.299630572,0.4484968353
0.30042000,0.5846170373,1.264340544,1.498393543,1.368293749,0.7338524788
0.31711000,0.4905905301,1.167421339,1.44779797,1.37446999,1.019315222
0.33380000,0.403322214,1.034930324,1.354674883,1.34493062,1.266934272
0.35049000,0.324284204,0.8949695572,1.217510254,1.287859521,1.463237987
0.36718000,0.245238574,0.7354173166,1.047405598,1.223428003,1.601679256
0.38387000,0.174603644,0.5647076273,0.8564171596,1.144464357,1.678296656
0.40056000,0.1046786412,0.3976692683,0.6551168436,1.062126994,1.683078042
0.41725000,0.04224246256,0.236792303,0.4619160883,0.9734536747,1.613208673
0.43394000,-0.01072733811,0.08342875907,0.2831910719,0.869955328,1.473402551
0.45063000,-0.05591647884,-0.04963469164,0.1252821525,0.7449104707,1.270282574
0.46732000,-0.1043520555,-0.170675833,-0.005600157842,0.5996282801,1.006730502
0.48401000,-0.1523863619,-0.263812931,-0.1052611409,0.4160349254,0.7015064464
0.50070000,-0.2023376693,-0.3234536706,-0.1800711781,0.2156239593,0.3399102625
0.51739000,-0.2472118778,-0.3523419313,-0.234990541,-0.006690098276,-0.04962441539
0.53408000,-0.278138295,-0.3679190171,-0.2862708421,-0.2537951358,-0.4609087879
0.55077000,-0.2934520151,-0.3599656824,-0.345092775,-0.5287696825,-0.8492836785
0.56746000,-0.2993287954,-0.3492172606,-0.42732447,-0.8179593366,-1.194620603
0.58415000,-0.2925114779,-0.3369135407,-0.5573219721,-1.110814512,-1.471948024
0.60084000,-0.2759979454,-0.3387711097,-0.7383737837,-1.374980184,-1.671913248
0.61753000,-0.2527071241,-0.3734866344,-0.9604967145,-1.594101547,-1.788132144
0.63422000,-0.2200494361,-0.4816216435,-1.19534688,-1.751352395,-1.836268412
0.65091000,-0.1810088813,-0.645559606,-1.408012957,-1.84589705,-1.800860278
0.66760000,-0.1492687155,-0.8546134375,-1.569935798,-1.873716558,-1.695171028
0.68429000,-0.1361737126,-1.063491409,-1.672841364,-1.842281167,-1.536819328
0.70098000,-0.1617511662,-1.224362578,-1.713045336,-1.750575637,-1.338710697
0.71767000,-0.2363595871,-1.310247454,-1.698960654,-1.604499214,-1.12876405
0.73436000,-0.3566754367,-1.308994002,-1.627604916,-1.411810743,-0.9116140294
0.75105000,-0.5047600327,-1.242385213,-1.497920944,-1.190588634,-0.6995623283
0.76774000,-0.6611353145,-1.131166866,-1.311475844,-0.9481511548,-0.4866699227
0.78443000,-0.8017339235,-0.9935904315,-1.064021601,-0.6939345084,-0.2792579897
0.80112000,-0.9132179479,-0.8370822247,-0.7664465131,-0.4286294848,-0.08791065549
0.81781000,-0.984092237,-0.698642635,-0.4463933809,-0.1583205533,0.07881294283
0.83450000,-1.006813226,-0.5484751929,-0.1179753079,0.1067490634,0.2273405104
0.85119000,-0.9806227469,-0.4151054073,0.1961629313,0.3675557859,0.3463330531
0.86788000,-0.9069134581,-0.2767085361,0.4695025803,0.6156870055,0.4477630472
0.88457000,-0.7807660502,-0.1270334141,0.6991079032,0.8318214528,0.5395441887
0.90126000,-0.6078688345,0.02935897459,0.8711927971,1.015391854,0.6137302064
0.91795000,-0.3955667799,0.1838519934,0.9785784303,1.149320097,0.6740771288
0.93464000,-0.1453143392,0.3521699276,1.035531818,1.223032617,0.7291677994
0.95133000,0.1350656004,0.520250422,1.048487669,1.249687879,0.7641153536
0.96802000,0.4338563006,0.6971267434,1.025862287,1.215211968,0.7789590254
0.98471000,0.7152045317,0.8693653415,0.9862098502,1.114450032,0.7797912914
1.00140000,0.9549097756,1.022486694,0.9378227817,0.9684757107,0.7636488055
1.01809000,1.157355078,1.175280314,0.9013339655,0.801377604,0.727897176
1.03478000,1.31781512,1.306966171,0.8887716436,0.6299383555,0.6667507115
1.05147000,1.424199139,1.421366196,0.9018819075,0.4894297992,0.5644189249
1.06816000,1.470129831,1.499612868,0.9396526655,0.397229343,0.4322776486
1.08485000,1.429942177,1.523030432,0.9854215296,0.3635576934,0.2751422771
1.10154000,1.319124886,1.475195497,1.024453113,0.3890670306,0.1067895416
1.11823000,1.159282635,1.368535307,1.047171818,0.4584531152,-0.06019266148
1.13492000,0.9642961206,1.224679801,1.036010406,0.5338590404,-0.1984683211
1.15161000,0.741228736,1.038849885,0.9823075221,0.5800232132,-0.297552868
1.16830000,0.4990839892,0.8223110803,0.8887223373,0.5548851263,-0.3307684244
1.18499000,0.2469229672,0.5732689606,0.7460631256,0.4574246395,-0.3015253543
1.20168000,0.003418656668,0.3023259572,0.5486490173,0.2952691488,-0.2238153309
1.21837000,-0.2307154606,0.01977954549,0.2951566579,0.1052091814,-0.1034965443
1.23506000,-0.4408401623,-0.2561188548,-0.0152596315,-0.073093302,0.03807151189
1.25175000,-0.6193612044,-0.5379424488,-0.361688395,-0.226105663,0.157661757
1.26844000,-0.7685803984,-0.8111322841,-0.7172900995,-0.3596208926,0.2462318624
1.28513000,-0.8862825852,-1.078345716,-1.045969874,-0.4702028859,0.2949108534
1.30182000,-0.9729496679,-1.32741955,-1.327275974,-0.5716427164,0.3060745796
1.31851000,-1.031728589,-1.553101217,-1.54040606,-0.6600301716,0.2854070519
1.33520000,-1.060308655,-1.735616774,-1.67697699,-0.7407168543,0.223597862
1.35189000,-1.061074447,-1.862138185,-1.737376462,-0.8127095761,0.1141407732
1.36858000,-1.050035831,-1.920745684,-1.731578723,-0.8808023394,-0.03792474429
1.38527000,-1.02532584,-1.896429298,-1.66652609,-0.9438644386,-0.2267677716
1.40196000,-0.9841289178,-1.77864307,-1.558829532,-0.9981663535,-0.436558066
1.41865000,-0.9305325787,-1.591190197,-1.414016932,-1.041932185,-0.6597682126
1.43534000,-0.856008215,-1.324849968,-1.244925936,-1.076160028,-0.8860140558
1.45203000,-0.7599936109,-1.017283415,-1.063660766,-1.09418869,-1.088937666
1.46872000,-0.6405390347,-0.700337515,-0.8799343453,-1.105005031,-1.254419083
1.48541000,-0.491486907,-0.3943658035,-0.7035578816,-1.105702298,-1.367582211
1.50210000,-0.3153410081,-0.1249980713,-0.5464037482,-1.082704071,-1.419437032
1.51879000,-0.1142742626,0.06499104129,-0.4150451094,-1.037097835,-1.391500178
1.53548000,0.09819300904,0.1975191528,-0.3145622824,-0.9534215926,-1.296678421
1.55217000,0.3165748983,0.258862279,-0.2421408918,-0.8228262882,-1.124973538
1.56886000,0.5231997206,0.275359571,-0.1893942794,-0.6505748355,-0.8903568095
1.58555000,0.6955771068,0.2743927166,-0.1419153526,-0.4418939877,-0.6128380718
1.60224000,0.8107690748,0.2923535041,-0.0857138835,-0.1994411937,-0.3199657185
1.61893000,0.8587735252,0.359710381,-0.002996083191,0.03858320551,-0.01786638845
1.63562000,0.8280539615,0.4751294136,0.1287591016,0.2702547019,0.274335879
