time_s,theta1,theta2,theta3,theta4,theta5
0.0,-1.233560308,-0.1611050574,0.0,0.1611050574,0.3608956817
0.01666667,-1.223171275,-0.1649389532,-3.754047413e-05,0.1611049759,0.3608958013
0.03333333,-1.192093963,-0.1759137346,-0.0005769887062,0.1610961313,0.3608961027
0.05,-1.140600181,-0.192639763,-0.002666789084,0.1610071253,0.3608954488
0.06666667,-1.069176464,-0.213354997,-0.007387617453,0.1606033191,0.3608855428
0.08333333,-0.9785798142,-0.2363214493,-0.0153781039,0.1594163459,0.3608331496
0.1,-0.8699063206,-0.2600227025,-0.02669644559,0.1568215672,0.3606476927
0.11666667,-0.744810432,-0.2830651309,-0.0409239439,0.1522133284,0.360143276
0.13333333,-0.60587591,-0.3038098364,-0.05733214255,0.1451667005,0.3590135572
0.15,-0.4581639673,-0.3189275971,-0.07499237511,0.1355092345,0.356872454
0.16666667,-0.320618689,-0.3119524635,-0.09274206582,0.1233814486,0.3532877895
0.18333333,-0.2415320692,-0.2395565944,-0.1079123212,0.1092150178,0.3478245452
0.2,-0.2264824119,-0.1132659916,-0.1063946902,0.09379473512,0.3401420604
0.21666667,-0.2317478782,-0.02688952963,-0.04301720358,0.07961958429,0.3300170785
0.23333333,-0.240095604,-0.009707878451,0.07665052717,0.0812279238,0.3175234507
0.25,-0.2490633,-0.02149653922,0.1609703451,0.1436162435,0.3039782256
0.26666667,-0.2585007887,-0.03721175659,0.1755795605,0.264477903,0.2982634868
0.28333333,-0.2685530223,-0.0527689706,0.158802244,0.3591623705,0.3400719178
0.3,-0.279357214,-0.06739259079,0.1363811183,0.3815881987,0.4477128682
0.31666667,-0.2909317483,-0.08100645282,0.1130650981,0.3592219725,0.5866546699
0.33333333,-0.3031671164,-0.09391664282,0.09035736305,0.3257806519,0.7210348701
0.35,-0.3158549992,-0.1066225894,0.06911185493,0.2889450192,0.84216323
0.36666667,-0.3287310823,-0.1196463328,0.04975748674,0.251489579,0.947126431
0.38333333,-0.3415351212,-0.1333428382,0.03217258167,0.2157821955,1.034202363
0.4,-0.3540742888,-0.14778196,0.01571923952,0.1841493835,1.102335174
0.41666667,-0.3662438415,-0.162728169,-0.0004906634122,0.1588408895,1.150807573
0.43333333,-0.3780153079,-0.1777805611,-0.01694082086,0.1414724094,1.179167355
0.45,-0.3894080765,-0.1924946298,-0.03317089235,0.1325402492,1.187175851
0.46666667,-0.4004525697,-0.2064342941,-0.04777745375,0.1314007907,1.174776317
0.48333333,-0.4111741586,-0.2191027905,-0.05892420746,0.1366630219,1.142090013
0.5,-0.4215391524,-0.2298344633,-0.06508604173,0.1467457805,1.089434511
0.51666667,-0.4313773853,-0.2378185098,-0.06545073528,0.1602110348,1.017359473
0.53333333,-0.4403302294,-0.2421847715,-0.0600045723,0.175877736,0.9266993162
0.55,-0.4478297734,-0.2422468261,-0.04930968321,0.1928174578,0.8186425502
0.56666667,-0.4531640609,-0.2376093789,-0.03426097786,0.2100619301,0.6950259797
0.58333333,-0.4555115992,-0.2282696425,-0.01594615477,0.2264657925,0.558474846
0.6,-0.4540903056,-0.2145471198,0.004469017432,0.2400286487,0.4131326157
0.61666667,-0.448246269,-0.1969985247,0.02565779728,0.2401695224,0.2724380994
0.63333333,-0.4375273077,-0.1763640924,0.04525124308,0.1859996443,0.1817802193
0.65,-0.4217273938,-0.1536553911,0.05205666366,0.07096643691,0.1619175611
0.66666667,-0.4009001835,-0.1311891019,0.00239354996,-0.01494487481,0.1708934256
0.68333333,-0.3754408081,-0.1211175615,-0.1071904732,-0.03099590066,0.1861179146
0.7,-0.3467841171,-0.1675475202,-0.188705788,-0.01422825304,0.2039655789
0.71666667,-0.3224195016,-0.2753778041,-0.2001426436,0.007725793635,0.2238250307
0.73333333,-0.3396510328,-0.3669285512,-0.1752602554,0.03024587125,0.2453814508
0.75,-0.4218457526,-0.3882075783,-0.143804131,0.0527288241,0.2682304452
0.76666667,-0.54699444,-0.3537333291,-0.1117306349,0.07533093668,0.2918547937
0.78333333,-0.6719567825,-0.3048652513,-0.08066476047,0.09836585169,0.3156917285
0.8,-0.7850180548,-0.2532047038,-0.05115330476,0.1221018519,0.3391918098
0.81666667,-0.8830005014,-0.2027618651,-0.02297412443,0.1465382104,0.3618802756
0.83333333,-0.9640305179,-0.157020227,0.004676403732,0.1714185983,0.3834059995
0.85,-1.026977382,-0.1190147922,0.03272225978,0.1962941712,0.403553255
0.86666667,-1.071092242,-0.09087006926,0.06136107663,0.2206142824,0.422270276
0.88333333,-1.095897367,-0.07318561767,0.08932342093,0.2439145519,0.4396159369
0.9,-1.101144716,-0.06509465067,0.1140323135,0.2657914956,0.4557471291
0.91666667,-1.086791722,-0.06499879956,0.1327298873,0.2856045258,0.4708771614
0.93333333,-1.05300125,-0.07125659686,0.1434970102,0.3023062712,0.485153625
0.95,-1.000159118,-0.08248562036,0.1456395213,0.3144832776,0.4985623002
0.96666667,-0.9289060236,-0.09760137935,0.1394932363,0.3207988759,0.5107297743
0.98333333,-0.8401824169,-0.1157554801,0.1260274801,0.3203760589,0.5208748416
1.0,-0.7353904192,-0.1361677528,0.1065095413,0.3129511294,0.5279119724
1.01666667,-0.6166662429,-0.1578457817,0.08231568471,0.2988359156,0.5306240722
1.03333333,-0.4866645669,-0.1797555473,0.05483749629,0.2787299727,0.5278927066
1.05,-0.3499354628,-0.1995732228,0.02550564599,0.2535224098,0.5188590279
1.06666667,-0.2227383624,-0.20384499,-0.004175795309,0.2242551822,0.5029877728
1.08333333,-0.1534638849,-0.1490973863,-0.03118882419,0.1920729293,0.4800872844
1.1,-0.1518876296,-0.04379453382,-0.03986219706,0.1583593664,0.450311083
1.11666667,-0.1732685719,0.01828061027,0.0142295541,0.1263766978,0.4141459427
1.13333333,-0.2000890083,0.01461570962,0.1165985768,0.1138133988,0.3725022362
1.15,-0.2293132343,-0.0113876122,0.1735458454,0.1652373224,0.3276542731
1.16666667,-0.2600009804,-0.04051510831,0.1633823806,0.2707256503,0.2907156705
1.18333333,-0.2913746809,-0.06984570491,0.1289882634,0.3397308838,0.305558661
1.2,-0.3226377866,-0.09909731885,0.09160438445,0.337130853,0.3861970883
1.21666667,-0.3530098559,-0.1283478716,0.05540266298,0.2849197645,0.5053821792
1.23333333,-0.3817998966,-0.1575884196,0.0211612799,0.2233093324,0.6224240633
1.25,-0.4084557741,-0.1866084026,-0.01157880893,0.1625228293,0.7281508759
1.26666667,-0.4325918821,-0.2149708228,-0.04413797606,0.1073772099,0.8198766564
1.28333333,-0.4540010835,-0.2422335043,-0.07790568783,0.06228254459,0.8956984796
1.3,-0.4726806016,-0.26814749,-0.1129139023,0.03008257363,0.954361924
1.31666667,-0.4888183816,-0.2927391458,-0.1467420438,0.01112323977,0.9950913812
1.33333333,-0.5028181676,-0.3160314711,-0.1752930112,0.003852924337,1.017389642
